name,area,aabb,zone,zabb,section,sabb,fault,fabb
BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,Basin and Range Area,BNRA,Black Mountain fault zone,BMFZ,Multiple sections,MULT,Black Mountain fault,BMTF
BNRA-NDVZ-MULT-Northern_Death_Valley_fault-CFM2,Basin and Range Area,BNRA,Northern Death Valley fault zone,NDVZ,Multiple sections,MULT,Northern Death Valley fault,NDVF
BNRA-SDVZ-MULT-Southern_Death_Valley_fault_vertical-CFM3,Basin and Range Area,BNRA,Southern Death Valley fault zone,SDVZ,Multiple sections,MULT,Southern Death Valley fault,SDVF
CRFA-BPPM-EAST-Big_Pine_fault-CFM4,Coast Ranges Fault Area,CRFA,Big Pine-Pine Mountain fault zone,BPPM,Eastern Big Pine,EAST,Big Pine fault,BPNF
CRFA-BPPM-LKWV-Lockwood_Valley_fault-CFM2,Coast Ranges Fault Area,CRFA,Big Pine-Pine Mountain fault zone,BPPM,Lockwood Valley,LKWV,Lockwood Valley fault,LWVF
CRFA-BPPM-PMTS-Pine_Mountain_fault-CFM2,Coast Ranges Fault Area,CRFA,Big Pine-Pine Mountain fault zone,BPPM,Pine Mountain,PMTS,Pine Mountain fault,PMTF
CRFA-BPPM-WEST-Big_Pine_fault-CFM2,Coast Ranges Fault Area,CRFA,Big Pine-Pine Mountain fault zone,BPPM,Western Big Pine,WEST,Big Pine fault,BPNF
CRFA-CSBL-CSML-Casmalia_fault-CFM4,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Casmalia,CSML,Casmalia fault,CSMF
CRFA-CSBL-LALM-Los_Alamos_fault_steep-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Los Alamos,LALM,Los Alamos fault,LAMF
CRFA-CSBL-ORCT-Orcutt_blind_fault-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Orcutt,ORCT,Orcutt blind fault,ORCF
CRFA-CSBL-PEZN-Pezzoni_Casmalia_fault_truncated-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Pezzoni-Casmalia,PEZN,Pezzoni-Casmalia fault,PCSF
CRFA-CSBL-ZACA-Zaca_blind_fault-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Zaca,ZACA,Zaca blind fault,ZACF
CRFA-LMPZ-EAST-Lompoc_blind_ramp-CFM5,Coast Ranges Fault Area,CRFA,Lompoc Fault Zone,LMPZ,Eastern,EAST,Lompoc blind ramp,LMPR
CRFA-LMPZ-WEST-Lompoc_blind_ramp-CFM5,Coast Ranges Fault Area,CRFA,Lompoc Fault Zone,LMPZ,Western,WEST,Lompoc blind ramp,LMPR
CRFA-LNHZ-MULT-Lions_Head_fault-CFM4,Coast Ranges Fault Area,CRFA,Lions Head fault zone,LNHZ,Multiple sections,MULT,Lion's Head fault,LNHF
CRFA-LOSO-LSOS-Los_Osos_fault-CFM4,Coast Ranges Fault Area,CRFA,Los Osos fault system,LOSO,Los Osos,LSOS,Los Osos fault,LOSF
CRFA-LPNZ-MULT-La_Panza_fault-CFM4,Coast Ranges Fault Area,CRFA,La Panza fault zone,LPNZ,Multiple sections,MULT,La Panza fault,LPZF
CRFA-NAFZ-MULT-Nacimiento_fault_south-CFM2,Coast Ranges Fault Area,CRFA,Nacimiento fault zone,NAFZ,Multiple sections,MULT,Nacimiento fault,NCMF
CRFA-OCNZ-HSNV-West_Huasna_fault-CFM5,Coast Ranges Fault Area,CRFA,Oceanic fault zone,OCNZ,Huasna Valley,HSNV,West Huasna fault,WHSF
CRFA-OCNZ-MULT-Oceanic_fault-CFM5,Coast Ranges Fault Area,CRFA,Oceanic fault zone,OCNZ,Multiple sections,MULT,Oceanic fault,OCNF
CRFA-OCNZ-SLRN-Oceanic_backthrust-CFM4,Coast Ranges Fault Area,CRFA,Oceanic fault zone,OCNZ,Santa Lucia Range-North,SLRN,Oceanic backthrust,OCNB
CRFA-REHZ-EHSN-East_Huasna_fault-CFM4,Coast Ranges Fault Area,CRFA,Rinconada-East Huasna fault system,REHZ,East Huasna,EHSN,East Huasna fault,EHSF
CRFA-REHZ-MULT-Rinconada_fault-CFM4,Coast Ranges Fault Area,CRFA,Rinconada-East Huasna fault system,REHZ,Multiple sections,MULT,Rinconada fault,RNCF
CRFA-SCFZ-SCYM-South_Cuyama_fault-CFM3,Coast Ranges Fault Area,CRFA,South Cuyama-Ozena fault zone,SCFZ,South Cuyama,SCYM,South Cuyuma fault,SCYF
CRFA-SJMZ-CHMN-Big_Spring_fault_35dip-CFM5,Coast Ranges Fault Area,CRFA,San Juan-Morales fault zone,SJMZ,Chimineas,CHMN,Big Spring fault,BSPF
CRFA-SJMZ-MRLS-Morales_fault-CFM3,Coast Ranges Fault Area,CRFA,San Juan-Morales fault zone,SJMZ,Morales,MRLS,Morales fault,MRLF
CRFA-SJMZ-MULT-San_Juan_fault-CFM5,Coast Ranges Fault Area,CRFA,San Juan-Morales fault zone,SJMZ,Multiple sections,MULT,San Juan fault,SJNF
CRFA-SLRS-LPNS-Little_Pine_fault-CFM5,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Little Pine,LPNS,Little Pine fault,LPNF
CRFA-SLRS-MULT-San_Luis_Range_fault_system-CFM4,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Multiple sections,MULT,San Luis Range fault system,SLRF
CRFA-SLRS-SHRL-Shoreline_fault-CFM4,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Shoreline,SHRL,Shoreline fault,SRLF
CRFA-SLRS-SLBS-San_Luis_Bay_fault-CFM4,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,San Luis Bay,SLBS,San Luis Bay fault,SLBF
CRFA-SLRS-SYNV-Santa_Ynez_Valley_blind_fault-CFM5,Coast Ranges Fault Area,CRFA,San Luis Range fault system,SLRS,Santa Ynez Valley,SYNV,Santa Ynez Valley blind fault,SYVF
ETRA-BBFS-1992-Big_Bear_rupture-CFM2,Eastern Transverse Ranges Area,ETRA,Big Bear Fault system,BBFS,1992 Big Bear rupture,1992,1992 Big Bear rupture,BGBR
ETRA-BCFZ-MULT-Blue_Cut_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Blue Cut fault zone,BCFZ,Multiple sections,MULT,Blue Cut fault,BCTF
ETRA-CHRC-STWS-Smoketree_Wash_fault_vertical-CFM5,Eastern Transverse Ranges Area,ETRA,Chiriaco fault zone,CHRC,Smoketree Wash,STWS,Smoketree Wash fault,STWF
ETRA-CLGZ-NCHS-Grass_Valley_fault_steep-CFM5,Eastern Transverse Ranges Area,ETRA,Cleghorn fault zone,CLGZ,Northern Cleghorn,NCHS,Grass Valley fault,GSVF
ETRA-CLGZ-SBMT-Tunnel_Ridge_Arrastre_Canyon_fault_steep-CFM5,Eastern Transverse Ranges Area,ETRA,Cleghorn fault zone,CLGZ,San Bernardino Mountains,SBMT,Tunnel Ridge-Arrastre Canyon fault,TRAC
ETRA-CLGZ-SCHS-Cleghorn_fault_steep-CFM5,Eastern Transverse Ranges Area,ETRA,Cleghorn fault zone,CLGZ,Southern Cleghorn,SCHS,Cleghorn fault,CLGF
ETRA-LSBM-1992-Joshua_Tree_sequence-CFM5,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,1992 Joshua Tree rupture,1992,1992 Joshua Tree rupture sequence,JSTS
ETRA-LSBM-BRMT-Burnt_Mountain_East_Wide_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,Burnt Mountain,BRMT,Burnt Mountain-East Wide Canyon,BMEW
ETRA-LSBM-ERPK-Eureka_Peak_West_Deception_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,Eureka Peak,ERPK,Eureka Peak-West Deception Canyon,EPWD
ETRA-LSBM-LGCS-Long_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,Long Canyon,LGCS,Long Canyon fault,LNCF
ETRA-NFTS-DTMT-Deep_detachment-CFM5,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Detachment,DTMT,Deep detachment,DPDM
ETRA-NFTS-EAST-North_Frontal_Thrust_fault_lowdip-CFM5,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Eastern,EAST,Eastern North Frontal fault,ENFT
ETRA-NFTS-WEST-North_Frontal_Thrust_fault_lowdip-CFM5,Eastern Transverse Ranges Area,ETRA,North Frontal thrust system,NFTS,Western,WEST,Western North Frontal thrust,WNFT
ETRA-PMFZ-MORV-Morongo_Valley_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Pinto Mountain fault zone,PMFZ,Morongo Valley,MORV,Morongo Valley fault,MRVF
ETRA-PMFZ-MULT-Pinto_Mountain_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Pinto Mountain fault zone,PMFZ,Multiple sections,MULT,Pinto Mountain fault,PTMF
ETRA-SANA-MULT-Santa_Ana_fault-CFM5,Eastern Transverse Ranges Area,ETRA,Santa Ana fault zone,SANA,Multiple sections,MULT,Santa Ana fault,SANF
ETRA-SBMT-WEST-Waterman_Canyon_fault-CFM5,Eastern Transverse Ranges Area,ETRA,San Bernardino Mountains fault region,SBMT,Western,WEST,Waterman Canyon fault,WMCF
GRFS-GRFZ-EAST-Garlock_fault-CFM5,Garlock Fault System,GRFS,Garlock fault zone,GRFZ,Eastern,EAST,Garlock fault,GRLF
GRFS-GRFZ-EAST-Owl_Lake_fault-CFM5,Garlock Fault System,GRFS,Garlock fault zone,GRFZ,Eastern,EAST,Owl Lake fault,OWLF
GRFS-GRFZ-WEST-Garlock_fault-CFM5,Garlock Fault System,GRFS,Garlock fault zone,GRFZ,Western,WEST,Garlock fault,GRLF
GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,Great Valley Fault Area,GVFA,Kern Canyon fault system,KRCS,Kern Canyon,KRCN,Kern Canyon fault,KRCF
GVFA-KRCS-LISA-Lake_Isabella_lineament-CFM2,Great Valley Fault Area,GVFA,Kern Canyon fault system,KRCS,Lake Isabella,LISA,Lake Isabella lineament,LIBF
