name,area,aabb,zone,zabb,section,sabb,fault
ETRA-BBFS-1992-Big_Bear_rupture-RUP6,Eastern Transverse Ranges Area,ETRA,Big Bear Fault system,BBFS,1992 Big Bear rupture,1992,Big Bear rupture
ETRA-LSBM-1992-Joshua_Tree_sequence-RUP6,Eastern Transverse Ranges Area,ETRA,Little San Bernadino Mountains fault region,LSBM,1992 Joshua Tree rupture,1992,Joshua Tree sequence
MJVA-ECSZ-1992-Barstow_Trend-RUP6,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers rupture,1992,Landers-Barstow trend
MJVA-ECSZ-1992-Landers_cross_fault_North_II-RUP6,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers cross faults,1992,Landers cross fault-north-II
MJVA-ECSZ-1992-Landers_cross_fault_North_I-RUP6,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers cross faults,1992,Landers cross fault-north-I
MJVA-ECSZ-1992-Landers_rupture_detailed_splays-RUP6,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Landers rupture,1992,Landers Rupture
MJVA-ECSZ-1999-Hector_Mine_rupture-RUP6,Mojave Fault Area,MJVA,Eastern California shear zone,ECSZ,Hector Mine rupture,1999,Hector Mine rupture
PNRA-EMCP-2010-El_Mayor_Cucapah_rupture-RUP6,Peninsular Ranges Area,PNRA,2010 El Mayor rupture,EMCP,2010 El Mayor-Cucapah rupture,2010,2010 El Mayor-Cucapah rupture
SAFS-SAFZ-1812-San_Andreas_fault_rupture-RUP6,San Andreas Fault System,SAFS,SAFZ rupture models,SAFZ,1812 Rupture-Mojave SAF+nSJF,1812,San Andreas fault
SAFS-SAFZ-1857-San_Andreas_fault_rupture-RUP6,San Andreas Fault System,SAFS,SAFZ rupture models,SAFZ,1857 Rupture-Parkfield-Mojave,1857,San Andreas fault
SNFA-LLFZ-2019-Ridgecrest_ruptures-RUP6,Sierra Nevada Fault Area,SNFA,Little Lake fault zone,LLFZ,2019 Ridgecrest Ruptures,2019,2019 Ridgecrest ruptures
SNFA-OVFZ-1872-Owens_Valley_fault_rupture-RUP6,Sierra Nevada Fault Area,SNFA,Owens Valley fault zone,OVFZ,1872 rupture,1872,Owens Valley fault
WTRA-ORFZ-1994-Northridge_Frew_fault-RUP6,Western Transverse Ranges Area,WTRA,Oak Ridge fault zone,ORFZ,1994 Northridge Rupture,1994,Northridge-Frew fault
